wavelength,Qabs
350,0.01481
351,0.01452
352,0.01431
353,0.01405
354,0.01377
355,0.01345
356,0.01309
357,0.01283
358,0.01264
359,0.0124
360,0.01209
361,0.01181
362,0.0116
363,0.01134
364,0.01111
365,0.01088
366,0.01064
367,0.0104
368,0.0102
369,0.01001
370,0.00979
371,0.00956
372,0.00935
373,0.0092
374,0.00902
375,0.00882
376,0.00864
377,0.00848
378,0.00831
379,0.00813
380,0.00795
381,0.00777
382,0.00761
383,0.00748
384,0.00732
385,0.00718
386,0.00705
387,0.00691
388,0.00677
389,0.00665
390,0.00651
391,0.00636
392,0.00625
393,0.00614
394,0.00601
395,0.00586
396,0.00573
397,0.00565
398,0.00555
399,0.00542
400,0.00531
401,0.00522
402,0.00513
403,0.00504
404,0.00491
405,0.0048
406,0.00472
407,0.00464
408,0.00454
409,0.00444
410,0.00436
411,0.00429
412,0.00421
413,0.00411
414,0.00401
415,0.00393
416,0.00388
417,0.00382
418,0.00374
419,0.00366
420,0.00359
421,0.00352
422,0.00346
423,0.00339
424,0.00329
425,0.00321
426,0.00318
427,0.00313
428,0.00307
429,0.00302
430,0.00301
431,0.00296
432,0.00285
433,0.00279
434,0.00275
435,0.00269
436,0.00263
437,0.00258
438,0.00252
439,0.00247
440,0.00243
441,0.00238
442,0.00234
443,0.00231
444,0.00227
445,0.00221
446,0.00219
447,0.00218
448,0.00212
449,0.00207
450,0.00204
451,0.00201
452,0.00196
453,0.00194
454,0.0019
455,0.00186
456,0.00184
457,0.00179
458,0.00177
459,0.00175
460,0.00172
461,0.00168
462,0.00164
463,0.00162
464,0.00158
465,0.00154
466,0.00152
467,0.0015
468,0.00146
469,0.00145
470,0.00143
471,0.0014
472,0.00138
473,0.00137
474,0.00133
475,0.00131
476,0.00128
477,0.00126
478,0.00123
479,0.00119
480,0.00118
481,0.00117
482,0.00117
483,0.00115
484,0.00112
485,0.0011
486,0.00108
487,0.00106
488,0.00103
489,0.00102
490,9.96E-04
491,9.71E-04
492,9.49E-04
493,9.27E-04
494,9.27E-04
495,9.33E-04
496,9.05E-04
497,8.67E-04
498,8.48E-04
499,8.45E-04
500,8.26E-04
501,7.98E-04
502,7.89E-04
503,7.73E-04
504,7.67E-04
505,7.57E-04
506,7.29E-04
507,7.07E-04
508,7.07E-04
509,7.13E-04
510,6.73E-04
511,6.45E-04
512,6.51E-04
513,6.38E-04
514,6.35E-04
515,6.29E-04
516,6.14E-04
517,5.89E-04
518,5.89E-04
519,5.89E-04
520,5.57E-04
521,5.39E-04
522,5.36E-04
523,5.23E-04
524,5.26E-04
525,5.17E-04
526,4.80E-04
527,4.55E-04
528,4.58E-04
529,4.67E-04
530,5.33E-04
531,5.36E-04
532,4.58E-04
533,4.49E-04
534,4.55E-04
535,4.52E-04
536,4.39E-04
537,4.11E-04
538,4.08E-04
539,4.15E-04
540,4.05E-04
541,3.93E-04
542,3.71E-04
543,3.68E-04
544,3.80E-04
545,3.87E-04
546,3.87E-04
547,3.87E-04
548,3.90E-04
549,3.84E-04
550,3.62E-04
551,3.37E-04
552,3.46E-04
553,3.77E-04
554,3.74E-04
555,3.56E-04
556,3.37E-04
557,3.22E-04
558,3.31E-04
559,3.37E-04
560,3.19E-04
561,3.09E-04
562,3.16E-04
563,3.16E-04
564,3.09E-04
565,2.88E-04
566,2.85E-04
567,2.85E-04
568,2.85E-04
569,2.94E-04
570,2.88E-04
571,2.91E-04
572,3.00E-04
573,3.06E-04
574,3.03E-04
575,2.91E-04
576,2.88E-04
577,2.79E-04
578,2.72E-04
579,2.63E-04
580,2.63E-04
581,2.72E-04
582,2.82E-04
583,2.75E-04
584,2.51E-04
585,2.51E-04
586,2.79E-04
587,2.85E-04
588,2.66E-04
589,2.60E-04
590,2.69E-04
591,2.60E-04
592,2.57E-04
593,2.66E-04
594,2.60E-04
595,2.54E-04
596,2.38E-04
597,2.42E-04
598,2.51E-04
599,2.29E-04
600,2.29E-04
601,2.48E-04
602,2.35E-04
603,2.08E-04
604,2.02E-04
605,2.11E-04
606,2.17E-04
607,2.17E-04
608,2.05E-04
609,2.17E-04
610,2.26E-04
611,2.20E-04
612,2.20E-04
613,2.02E-04
614,1.98E-04
615,1.95E-04
616,1.83E-04
617,1.95E-04
618,1.92E-04
619,1.89E-04
620,2.08E-04
621,2.20E-04
622,2.23E-04
623,2.26E-04
624,2.42E-04
625,2.60E-04
626,2.45E-04
627,2.17E-04
628,1.92E-04
629,1.89E-04
630,1.95E-04
631,1.77E-04
632,1.65E-04
633,1.74E-04
634,1.86E-04
635,1.74E-04
636,1.65E-04
637,1.77E-04
638,1.89E-04
639,1.77E-04
640,1.71E-04
641,1.65E-04
642,1.46E-04
643,1.58E-04
644,1.58E-04
645,1.58E-04
646,1.74E-04
647,1.80E-04
648,1.77E-04
649,1.74E-04
650,1.71E-04
651,1.62E-04
652,1.55E-04
653,1.58E-04
654,1.49E-04
655,1.52E-04
656,1.55E-04
657,1.65E-04
658,1.71E-04
659,1.68E-04
660,1.71E-04
661,1.65E-04
662,1.65E-04
663,1.65E-04
664,1.74E-04
665,1.80E-04
666,1.80E-04
667,1.86E-04
668,1.80E-04
669,1.49E-04
670,1.43E-04
671,1.52E-04
672,1.37E-04
673,1.49E-04
674,1.68E-04
675,1.52E-04
676,1.52E-04
677,1.46E-04
678,1.46E-04
679,1.65E-04
680,1.55E-04
681,1.43E-04
682,1.49E-04
683,1.46E-04
684,1.49E-04
685,1.68E-04
686,1.71E-04
687,1.71E-04
688,1.74E-04
689,1.62E-04
690,1.49E-04
691,1.43E-04
692,1.40E-04
693,1.49E-04
694,1.43E-04
695,1.37E-04
696,1.46E-04
697,1.37E-04
698,1.28E-04
699,1.46E-04
700,1.40E-04
701,1.37E-04
702,1.65E-04
703,1.77E-04
704,1.65E-04
705,1.49E-04
706,1.58E-04
707,1.52E-04
708,1.28E-04
709,1.19E-04
710,1.12E-04
711,1.31E-04
712,1.34E-04
713,1.25E-04
714,1.34E-04
715,1.40E-04
716,1.49E-04
717,1.58E-04
718,1.52E-04
719,1.49E-04
720,1.55E-04
721,1.46E-04
722,1.52E-04
723,1.58E-04
724,1.43E-04
725,1.40E-04
726,1.49E-04
727,1.37E-04
728,1.40E-04
729,1.22E-04
730,1.06E-04
731,1.28E-04
732,1.55E-04
733,1.62E-04
734,1.28E-04
735,1.25E-04
736,1.46E-04
737,1.37E-04
738,1.22E-04
739,1.15E-04
740,1.31E-04
741,1.49E-04
742,1.31E-04
743,9.09E-05
744,1.03E-04
745,1.40E-04
746,1.31E-04
747,1.28E-04
748,1.31E-04
749,1.22E-04
750,1.25E-04
751,1.31E-04
752,1.09E-04
753,1.09E-04
754,1.28E-04
755,1.19E-04
756,9.09E-05
757,8.48E-05
758,1.25E-04
759,1.49E-04
760,1.28E-04
761,1.22E-04
762,1.40E-04
763,1.46E-04
764,1.46E-04
765,1.28E-04
766,9.71E-05
767,1.00E-04
768,1.25E-04
769,1.43E-04
770,1.52E-04
771,1.15E-04
772,8.79E-05
773,1.15E-04
774,1.49E-04
775,1.43E-04
776,1.15E-04
777,1.46E-04
778,1.65E-04
779,1.43E-04
780,1.55E-04
781,1.34E-04
782,1.25E-04
783,1.46E-04
784,1.28E-04
785,1.15E-04
786,1.09E-04
787,1.34E-04
788,1.55E-04
789,1.31E-04
790,1.06E-04
791,1.06E-04
792,1.40E-04
793,1.52E-04
794,1.37E-04
795,9.09E-05
